0	17	34	51	68	85	102	119	136	153	170
ALCAM	0.435897435897419	0.373626373626419	0.349112426035442	0.316239316239376	0.359999999999972	0.402564102564105	0.419580419580418	0.412955465587029	0.39934533551562	0.384615384615281	0.208333333333381
COL1	0.361675692366286	0.362389610462551	0.364369967204228	0.372035003775813	0.383817567280946	0.395107130047996	0.401260488278536	0.399004659963239	0.385809886456218	0.359065868343138	0.326322875050158
COL23A1	0.576923076923071	0.480769230769247	0.499999999999982	0.493927125506091	0.558704453441285	0.574175824175822	0.533498759305215	0.508050089445437	0.491258741258747	0.448979591836724	0.290969899665557
COL5A1	0.358974358972842	0.406593407635932	0.429487176467155	0.368421055691328	0.428093644927809	0.501240693394004	0.495192309097264	0.503118502343831	0.494983278670599	0.452662720146286	0.309568481209969
FN1	0.384615384615383	0.421245421245377	0.462806424345516	0.485347985346202	0.433588150981622	0.488821523303282	0.49200799200742	0.428571428572251	0.437728937729805	0.431480284419321	0.199906476503275
ITGA9B1	0.441961001271851	0.426841480797685	0.422641682291088	0.428170120748418	0.450283347860535	0.484194488858092	0.518402995157302	0.528596967589446	0.511846904953696	0.463227192791257	0.393000194290455
ICAM1	0.469358996755361	0.394390089041309	0.381408578978215	0.40595165878647	0.443561253171246	0.456829080271852	0.472159997443044	0.48350866616053	0.47395463856823	0.395329076692388	0.261789821014229
ITGA2B1	0.358974358974378	0.499999999999963	0.455621301775166	0.38461538461538	0.368589743589763	0.437665782493346	0.451923076923092	0.463461538461528	0.44405594405596	0.402714932126676	0.259391771019688
ITGA10B1	0.33362021649898	0.350946075221852	0.375820226067143	0.402798650699732	0.428115788437216	0.449472516830184	0.458136977007853	0.449760489709002	0.422675210934215	0.374472878729814	0.316327443523795
LAMB1	0.307692307692708	0.410256410255495	0.343195266272683	0.358974358974842	0.483974358973387	0.429708222812488	0.482517482517213	0.49190283400773	0.433566433567295	0.45999999999912	0.285470085470434
ITGA4B1	0.467032967365689	0.432692306404327	0.359105182412908	0.430402929425601	0.453296702589427	0.431981813144466	0.510457283143716	0.484203296591957	0.426739928601263	0.426923074607164	0.216117217098647
ELN	0.35059905236922	0.312890113674424	0.303713348350065	0.283352653625541	0.273359705739858	0.287936620503411	0.314334213594831	0.294285356530424	0.23977157041361	0.190530963700055	0.157977711254271
Laminin3B32	0.288461538461541	0.269230769230717	0.285714285714447	0.423076923076721	0.377622377622463	0.376657824933748	0.475524475524389	0.482176360225165	0.481684981685054	0.469079939668053	0.245499181669452
LUM	0.384615384164286	0.395604396457972	0.443786982766933	0.482905980688659	0.437062938354355	0.415384615145145	0.461538463706306	0.548323467182953	0.542039361512664	0.548621184415874	0.347985350474363
hyaluronic	0.340924285369004	0.326942318345823	0.33646471839283	0.369596879282531	0.38144214877198	0.383392875991948	0.408898713201895	0.421553349734542	0.409723640163397	0.344883930500147	0.24757160083284
GAP43	0.386467933299926	0.394745245842885	0.401774704243195	0.409323558960144	0.412183308211253	0.431369835176902	0.464509279337949	0.484999409758719	0.46631287494237	0.411218065929046	0.331797358119475
ITGA6B4	0.403846153846155	0.384615384615379	0.343589743589752	0.393665158371038	0.410256410256403	0.35989010989012	0.401442307692304	0.437148217636021	0.435897435897441	0.414201183431945	0.270833333333337
ITGA3B1	0.423076923076233	0.336538461540164	0.364102564100904	0.373076923078004	0.426923076923077	0.464285714284318	0.441176470590087	0.478846153844616	0.472027972029766	0.452307692305603	0.271685761048408
THBS1	0.375326222285307	0.358241381939129	0.357503988510822	0.367721711365819	0.400120601474399	0.447095803423667	0.484104844632277	0.495300948910554	0.467863665579442	0.39809889749601	0.301169945273473
ITGAVB6	0.252509778138832	0.316469680495994	0.358732031421128	0.380987338056706	0.395757763521583	0.421168153790872	0.460693703574455	0.493850245652489	0.486229701623278	0.434420008055877	0.341195941855123
ITGAMB2	0.327161353378878	0.296087735561254	0.28949983478115	0.33824837600085	0.383931168367167	0.426048063917277	0.473664913186737	0.501201605911953	0.504765549537471	0.450013037618464	0.329099840545775
VCAM1	0.436881426067417	0.436317389860827	0.442852726332167	0.458412056350488	0.500370460020642	0.543760007030817	0.586096807936197	0.598197697321415	0.548308052909812	0.445813583739349	0.320176480389234
CDH15	0.452631835674743	0.356502497888868	0.315062728721328	0.310770718663405	0.380643659556044	0.453400330107605	0.451342318323688	0.457807207244541	0.466766370478733	0.419569275117512	0.295781917939326
PECAM1	0.399408284024063	0.543639053253474	0.41420118343266	0.370692655760448	0.403106508875642	0.450126796280785	0.51102743410418	0.530379564150802	0.538736755194744	0.483045061447213	0.315372025683124
OMD	0.604395604163667	0.52197802261824	0.487637361503927	0.455720751289167	0.519589105743082	0.545019496467618	0.517685439962542	0.50686813161006	0.490759241293531	0.454945054084662	0.320512820936604
BGN	0.462641029803658	0.433703694786645	0.382428393273729	0.341837922573702	0.36984305232004	0.432035768930399	0.489248138662565	0.537912081398428	0.526005942223509	0.445132569600357	0.302179580033313
NID1	-0.000630884592235244	0.0108381949753811	0.0237319544353585	0.0348963652757035	0.0446747118338661	0.0527495714650353	0.0565945932100667	0.0543183824455043	0.0470003999051651	0.0355504957535689	0.0237554744935587
DCN	0.4922686300405	0.476163312935431	0.444498646915286	0.422344654936007	0.431341384674161	0.463155803535128	0.495384440713265	0.501995427531287	0.472457341384741	0.399485129595519	0.307940054045127
VTN	0.329804064221635	0.396554093619116	0.451960905759273	0.483017919421968	0.543366905864791	0.582724484924066	0.594097599938433	0.572439507000028	0.559804991539334	0.480689542474385	0.305616663604764
CDH3	0.236686390532562	0.384615384615349	0.380388841927323	0.38305823730925	0.436068947774635	0.498186676846722	0.514270797076224	0.510954741723982	0.53439349112426	0.476391740127988	0.268047337278116
SPP1	0.443786982248109	0.377218934912278	0.47928994082772	0.499260355029187	0.447485207101431	0.477071005916591	0.501218238775116	0.552514792899399	0.564102564102424	0.456466610312622	0.272464565845768
SPARC	0.157018163387532	0.259350664361686	0.285486777141716	0.312858983872089	0.34871070923621	0.384517320944835	0.381481008782342	0.416186937264511	0.446655084469778	0.402488860359105	0.250671364471503
